l_orderkey|revenue|o_orderdate|o_shippriority
-----------------------------------------
2456423|406181.01|1995-03-05|0
3459808|405838.70|1995-03-04|0
492164|390324.06|1995-02-19|0
1188320|384537.94|1995-03-09|0
2435712|378673.06|1995-02-26|0
4878020|378376.80|1995-03-12|0
5521732|375153.92|1995-03-13|0
2628192|373133.31|1995-02-22|0
993600|371407.46|1995-03-05|0
2300070|367371.15|1995-03-13|0
1166660|365967.44|1995-02-27|0
1083941|365184.49|1995-02-21|0
405063|359706.57|1995-03-03|0
4212103|356025.22|1995-02-14|0
4232067|355384.54|1995-02-21|0
817603|354799.89|1995-03-11|0
408035|351700.18|1995-03-08|0
4463334|350549.08|1995-03-14|0
1546404|350411.09|1995-03-11|0
345664|347632.93|1995-03-08|0
2864672|345570.45|1995-03-13|0
5680037|345361.29|1995-03-14|0
775873|345317.90|1995-03-13|0
4451046|345194.69|1995-02-20|0
5455494|343607.22|1995-02-21|0
4391237|343202.38|1995-03-05|0
1660512|342900.92|1995-01-16|0
369862|341547.78|1995-03-14|0
2060449|340743.11|1995-03-08|0
5160228|338557.50|1995-03-13|0
1549319|337587.16|1995-03-07|0
1124067|337439.21|1995-03-12|0
754912|337349.89|1995-02-14|0
4289698|336980.43|1995-01-23|0
3328709|336896.63|1995-03-09|0
2517952|336320.91|1995-02-20|0
4129095|335723.12|1995-02-17|0
5844161|334427.75|1995-03-05|0
4487361|332789.13|1995-02-22|0
1815554|332654.92|1995-03-12|0
3681568|332599.86|1995-02-27|0
217572|332211.61|1995-03-05|0
1827495|331854.93|1995-03-04|0
1175943|331847.73|1995-03-13|0
2020610|330992.17|1995-02-05|0
2994211|330726.83|1995-03-05|0
2948355|329877.79|1995-01-21|0
181793|329629.93|1995-02-14|0
1586850|329214.00|1995-03-10|0
4346215|329005.12|1995-02-21|0
4641217|329001.17|1995-02-15|0
821158|328507.31|1995-01-09|0
303360|328213.16|1995-03-14|0
4065637|326715.98|1995-01-19|0
4393826|326524.76|1995-03-06|0
1969217|326459.36|1995-03-13|0
3154627|325810.26|1995-01-24|0
4225253|325488.10|1995-02-28|0
891490|324468.62|1995-03-08|0
1635941|323680.82|1995-02-22|0
5363396|323373.48|1995-03-12|0
2880898|322087.15|1995-02-23|0
462502|321750.29|1995-03-08|0
1232902|321384.62|1995-03-01|0
2192676|320963.57|1995-03-07|0
4878882|320894.25|1995-03-01|0
4617957|320542.05|1995-01-28|0
3841217|320473.43|1995-03-05|0
2955847|319815.29|1995-02-07|0
1220678|319670.38|1995-02-09|0
5949254|317913.46|1995-03-11|0
1881824|317585.07|1995-01-27|0
5901729|317343.43|1995-03-03|0
1708417|317181.99|1995-03-05|0
3923874|317133.31|1995-03-10|0
1274374|316332.97|1995-02-24|0
4456832|316170.04|1995-02-23|0
632292|315180.18|1995-02-26|0
3946406|314724.42|1995-02-06|0
964002|314131.94|1995-02-27|0
5089889|313272.94|1995-02-14|0
1092293|313210.67|1995-03-05|0
2818756|312939.39|1995-03-06|0
4115877|312893.47|1995-02-13|0
311266|312371.65|1995-02-17|0
2288865|311949.41|1995-02-18|0
2988803|311847.94|1995-03-11|0
4090502|311808.08|1995-02-02|0
3287808|310998.30|1995-02-17|0
5188579|310709.68|1995-02-06|0
